"Amaryllis","Argus vert","Azuré des nerpruns","Azuré porte-queue","Belle-Dame","Brun des pélargoniums","Carte géographique","Citrons","Demi-Deuil et Echiquiers","Flambés","Gazé","Grand Nacré et Tabac d'Espagne","Grande Tortue","Machaons","Mars changeants","Myrtil","Paon du jour","Petites Tortues","Procris","Robert le diable","Silène","Souci","Tircis","Tristan","Vulcain"
0.54559474566755,0,0.54559474566755,0,0,0,0,0,0.54559474566755,0,0,0,0,0,0,3.2735684740053,0.54559474566755,0,2.1823789826702,0,0,0,0,0,0
0,0,1.63678423700265,0,0,0,0,0,0,0,0,0,0,0,0,2.1823789826702,0,0,1.63678423700265,0,0,1.0911894913351,0.54559474566755,0,0
1.0911894913351,0,0,0,1.63678423700265,0,0,0,0,0,0,0,0,0,0,1.63678423700265,0,0,2.1823789826702,0,0,0,0,0.54559474566755,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63678423700265,0,0,7.6383264393457,0,0,1.0911894913351,0,0,0.54559474566755
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07221970024538
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319513170117686,0.319513170117686,0,0,0,0,0,0,0.319513170117686,0,0.319513170117686
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639026340235372,0,0,0.319513170117686,0,0,2.2365921908238,0,0
0,0,0.319513170117686,0,0,0,0,0,0,0,0,0,0,0,0,0.319513170117686,0,0,0,0,0,0,1.59756585058843,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59756585058843,0,1.27805268047074
0,0,0.994652224687923,0,0,0,0,0.663101483125282,9.28342076375394,0,0,0.331550741562641,0,0,0,4.97326112343961,0,0,0,0.331550741562641,0,0,0.331550741562641,0,0
1.6577537078132,0,0.331550741562641,0,0,0,0,0.331550741562641,8.62031928062866,0,0,0,0,0,0,7.95721779750338,0,0,0,0.331550741562641,0,0,0.331550741562641,0,0
0,0,0,0,0,0,0,0,0.331550741562641,0,0,0,0,0,0,4.64171038187697,0,0,0,0.331550741562641,0,0.331550741562641,0,0,0.331550741562641
0,0,0,0,0,0,0,0.331550741562641,6.96256557281546,0,0,0.331550741562641,0,0,0,4.97326112343961,0.331550741562641,0,0,0,0,0,0.663101483125282,0,0
0,0,1.32620296625056,0,0,0,0,0.331550741562641,2.65240593250113,0.331550741562641,0,0,0,0,0,2.98395667406377,0,0,0,0.663101483125282,0,0,0.663101483125282,0,0
1.32620296625056,0,1.98930444937585,0,0,0,0,0.331550741562641,6.29946408969018,0,0,0.331550741562641,0,0,0.331550741562641,3.31550741562641,0,0,0,0.331550741562641,0,0,0.663101483125282,0,0
0,0,0,0,0,0,0,0,9.2403510178639,0,0,0,0,0,0,9.2403510178639,0,0,0,0,0,0,0,0,0
1.42159246428675,0,0.355398116071688,0,0,0,0,0,8.52955478572052,0.355398116071688,0,0,0,0,0,12.7943321785808,0.355398116071688,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.710796232143377,11.372739714294,0,0,0,0,0,0,3.55398116071688,0,0,0.355398116071688,0,0,0.710796232143377,0,0,0
0,0,0.355398116071688,0,0.355398116071688,0,0,0,2.13238869643013,0,0,0,0,0,0,4.26477739286026,0,0,0,0,0,0.710796232143377,0,0,0
0,0,0,0,0,0,0,1.77699058035844,12.7943321785808,0,0,0,0,0,0,5.33097174107533,0,0,0,0,0,0,0.355398116071688,0,0
