id_transect,transect_coordonnees,annee,id_transect_annee,geometry,longueur_transect,longueur
1137_montreau gestion 3,"{""type"": ""LineString"", ""coordinates"": [[2.474118, 48.865241], [2.475169, 48.864344], [2.475148, 48.864542], [2.475448, 48.864761], [2.475813, 48.864612], [2.475985, 48.864852], [2.476264, 48.864852]]}",2020,1137_montreau gestion 3_2020,,,262.11710562062586
1129_montreau gestion 1,"{""type"": ""LineString"", ""coordinates"": [[2.471727, 48.866174], [2.472157, 48.866165], [2.472491, 48.866084], [2.472607, 48.865928], [2.472521, 48.865759], [2.472345, 48.865697], [2.471946, 48.865691], [2.471655, 48.865756], [2.471268, 48.865745], [2.471002, 48.865793], [2.470839, 48.865962], [2.470946, 48.866061], [2.471097, 48.866197], [2.47147, 48.86618], [2.471706, 48.866191]]}",2020,1129_montreau gestion 1_2020,,,310.5646573101837
1130_montreau gestion 2,"{""type"": ""LineString"", ""coordinates"": [[2.471977, 48.863781], [2.470699, 48.863945], [2.471574, 48.865322]]}",2020,1130_montreau gestion 2_2020,,,261.2023520583727
1135_jean moulin stade,"{""type"": ""LineString"", ""coordinates"": [[2.448673, 48.858266], [2.448506, 48.858274], [2.448321, 48.858195], [2.448459, 48.858085], [2.448094, 48.857817], [2.447905, 48.857913]]}",2020,1135_jean moulin stade_2020,,,101.72644871492818
1134_patriarche,"{""type"": ""LineString"", ""coordinates"": [[2.440086, 48.86227], [2.440657, 48.862036], [2.440738, 48.861804], [2.440361, 48.861434], [2.440116, 48.861344], [2.43976, 48.861364], [2.43958, 48.861437]]}",2020,1134_patriarche_2020,,,187.34393671853027
1133_rue de vincennes,"{""type"": ""LineString"", ""coordinates"": [[2.437192, 48.857843], [2.437596, 48.857171], [2.437253, 48.856544], [2.437862, 48.85629]]}",2020,1133_rue de vincennes_2020,,,207.2065355414266
776_cesaria evora,"{""type"": ""LineString"", ""coordinates"": [[2.460467, 48.866582], [2.46014, 48.866277], [2.460308, 48.866065], [2.460278, 48.865758], [2.460385, 48.865721], [2.460346, 48.86565], [2.460831, 48.865712]]}",2020,776_cesaria evora_2020,,,155.66866437473413
1103_champs de poire,"{""type"": ""LineString"", ""coordinates"": [[2.457048, 48.869901], [2.456894, 48.869773], [2.456445, 48.869986], [2.456578, 48.870054], [2.456851, 48.869905], [2.456896, 48.869777]]}",2020,1103_champs de poire_2020,,,111.51618497750215
1131_marcel cachin,"{""type"": ""LineString"", ""coordinates"": [[2.450267, 48.869866], [2.450258, 48.869737], [2.450271, 48.869598], [2.450447, 48.869494], [2.450649, 48.869573], [2.450799, 48.869714], [2.450824, 48.869796], [2.450627, 48.869892], [2.450455, 48.869909], [2.450275, 48.869872]]}",2020,1131_marcel cachin_2020,,,137.2201545588455
950_désiré préaux,"{""type"": ""LineString"", ""coordinates"": [[2.431431, 48.861676], [2.431096, 48.863483]]}",2020,950_désiré préaux_2020,,,202.4184206524126
