"id_transect_annee","transect_coordonnees","transect_type_prairie","transect_paturage_prairie","transect_rythme_fauchage_prairie","amendements","semis_sursemis","duree","longueur_transect","geometry"
"117_GP1_2020","{""type"": ""LineString"", ""coordinates"": [[4.811957609397971, 45.63523613531236], [4.812593292938163, 45.63604070377015], [4.812654983743171, 45.63744913963532]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",2400,258.893072158664,c(4.81240196202643, 45.6362419929059)
"1184_Grève parc Billancourt Est_2021","{""type"": ""LineString"", ""coordinates"": [[2.237872, 48.82582], [2.235329, 48.82683]]}","Prairie sèche (calcicole)","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",3300,217.412399484342,c(2.2366005, 48.826325)
"1186_gs vernes_2021","{""type"": ""LineString"", ""coordinates"": [[2.390559, 48.781707], [2.390623, 48.781601], [2.390752, 48.78157], [2.390854, 48.781605], [2.390634, 48.78175], [2.390559, 48.7817]]}","Prairie sans distinction","Non pâturée","Plusieurs fauches","[""espaces-verts.amendements.aucun""]","Non",2700,61.7883294549687,c(2.3906635, 48.7816555)
"1186_gs vernes_2022","{""type"": ""LineString"", ""coordinates"": [[2.390559, 48.781707], [2.390623, 48.781601], [2.390752, 48.78157], [2.390854, 48.781605], [2.390634, 48.78175], [2.390559, 48.7817]]}","Prairie sans distinction","Non pâturée","Plusieurs fauches","[""espaces-verts.amendements.aucun""]","Non",3000,61.7883294549687,c(2.3906635, 48.7816555)
"1186_gs vernes_2023","{""type"": ""LineString"", ""coordinates"": [[2.390559, 48.781707], [2.390623, 48.781601], [2.390752, 48.78157], [2.390854, 48.781605], [2.390634, 48.78175], [2.390559, 48.7817]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",1800,61.7883294549687,c(2.3906635, 48.7816555)
"1188_vilmorin_2022","{""type"": ""LineString"", ""coordinates"": [[2.386917, 48.794314], [2.387201, 48.794364], [2.387292, 48.794145], [2.387469, 48.794152], [2.387496, 48.794219], [2.387603, 48.794261], [2.388075, 48.79435], [2.388113, 48.794191], [2.386992, 48.794], [2.386917, 48.794311]]}","Prairie sans distinction","Non pâturée","Plusieurs fauches","[""espaces-verts.amendements.je-ne-sais-pas""]","Non",2700,250.295295340779,c(2.3874075, 48.7942307)
"118_PA_2019","{""type"": ""LineString"", ""coordinates"": [[4.8155407593042225, 45.64077713620109], [4.8181371376377955, 45.64124970451191]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",1800,208.575998951762,c(4.81683894847101, 45.6410134203565)
"118_PA_2020","{""type"": ""LineString"", ""coordinates"": [[4.8155407593042225, 45.64077713620109], [4.8181371376377955, 45.64124970451191]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",2640,208.575998951762,c(4.81683894847101, 45.6410134203565)
"1195_gs Makarenko_2021","{""type"": ""LineString"", ""coordinates"": [[2.398884, 48.78274], [2.39881, 48.78285], [2.398705, 48.782891], [2.397886, 48.782636], [2.398717, 48.782803], [2.398771, 48.782712], [2.398872, 48.782754]]}","Prairie sans distinction","Non pâturée","Plusieurs fauches","[""espaces-verts.amendements.aucun""]","Non",2700,171.960462927131,c(2.39866357142857, 48.7827694285714)
"1196_ilot curie_2021","{""type"": ""LineString"", ""coordinates"": [[2.400534, 48.781393], [2.400566, 48.781388], [2.400602, 48.781393], [2.400622, 48.781412], [2.400628, 48.781436], [2.400541, 48.781533], [2.400514, 48.781541], [2.40049, 48.78154], [2.400468, 48.781535], [2.400449, 48.781525], [2.400441, 48.781508], [2.400445, 48.781489], [2.400532, 48.781395]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",2700,46.6826956079011,c(2.40052553846154, 48.7814683076923)
