"Amaryllis","Argus vert","Azuré des nerpruns","Azuré porte-queue","Belle-Dame","Brun des pélargoniums","Carte géographique","Citrons","Demi-Deuil et Echiquiers","Flambés","Gazé","Grand Nacré et Tabac d'Espagne","Grande Tortue","Machaons","Mars changeants","Myrtil","Paon du jour","Petites Tortues","Procris","Robert le diable","Silène","Souci","Tircis","Tristan","Vulcain"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,18,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,14,2
3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
5,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,3
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,9,0,0,2,3,0,0
10,0,3,0,0,0,0,0,0,0,0,0,0,3,0,11,1,0,19,2,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,42,0,0,0,0,0,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,0,0,0
25,0,0,0,0,0,0,0,43,0,0,0,0,0,0,29,0,0,11,0,1,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0
15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14,0,0,10,0,0,0,0,0,0
5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,19,0,0,4,0,0,0,0,0,0
31,0,0,0,0,0,0,0,6,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,0,0,8,1,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0
5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,64,0,0,5,0,0,0,0,0,0
2,0,0,0,0,0,0,0,41,1,0,0,0,0,0,19,1,0,12,0,0,0,0,0,0
7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,9,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,9,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,0,0,5,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,10,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,3,0,2
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,6,0,0,0,0,0,2
0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,1,0,8
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,38,0,0,0,0,0,3
1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,2,5,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0
2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,0,0,0,10,0,1
2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,8,0,0,0,3,2,5
